天數,日期,路線(文字版本),中午休息點(暫定),中午休息點公里數,終點住宿點,當日總公里數
0,7/4週六,報到！行前安全講習(物資發放),,0,台體大國立臺灣體育運動大學,0
1,7/5週日,臺中→崇德路→豐原→豐原大道→豐科路→后里→后科路→台13→三義→銅鑼→山線鐵路自行車道→苗28→貓貍山公園→公園路→苗栗,三義,34.9,苗栗高中,53.4
2,7/6週一,苗栗→台13→竹南→苗栗濱海自行車道→南寮→南寮-頭前溪自行車道→新竹,南寮,50.8,培英國中,62.1
3,7/7週二,新竹→台1→竹北→縣118→新埔→台3→龍潭→台3乙→石門水庫→台4→大溪→A4大鶯綠野景觀自行車道→鶯歌→大漢溪左岸自行車道→新莊→新月橋→板橋→大漢溪左岸自行車道→華江橋自行車便道→萬華→新店溪右岸自行車道→景美→景美溪河濱自行車道→寶僑→新店,大溪,47.7,北新國小,94.6
4,7/8週三,新店→台9→坪林→頭城→礁溪→台9→宜蘭→羅東,坪林,29.4,羅東國中,51.7
5,7/9週四,羅東==== 新城車站→台8→太魯閣遊客中心→台8→新城→台9→縣道193→七星潭→台9→花蓮,太魯閣、新城,11.3,中原國小,33.7
6,7/10週五,休息一天 自由行,休息一日,,中原國小,
7,7/11週六,花蓮市→台9→吉安→壽豐→鳳林→萬榮→光復→瑞穗→台9→玉里,光復,42.8,玉里高中,83.3
8,7/12週日,玉里→台9→富里→池上→關山→鹿野→卑南→台9→台東,關山,42.9,新生國中,81.5
9,7/13週一,台東→台11→知本→美和→台9→太麻里→大武→達仁→南迴公路→壽卡→縣199→東源→牡丹→車城→統埔→山腳路→保力→台26→恆春,6點出發，不休息(達仁7-11南迴前最後補給),"63.3
壽卡前最後補給點
（不集結休息）",恆春國小,121
10,7/14週二,休息一天 自由行,休息一日,,恆春國小,
11,7/15週三,恆春→台26→楓港→台1→枋寮→台17→東港→林園→小港→前鎮→台17→高雄左營,潮州國小,76.6,左營高中,103
12,7/16週四,高雄左營→台17→楠梓→梓官→永安→茄萣→台南市南區→台南中西區→安南→將軍→南18→苓子寮→南19→學甲→台19→鹽水→縣172→南80→菁寮→南84→後壁→台1→水上→嘉義,將軍驛站,72.1,崇文國小,121.6
13,7/17週五,嘉義→台1→民雄→斗南→台1丁→斗六→台3→林內→南投竹山→社寮→台3丙→集集→台16→水里→台21→日月潭→魚池→埔里,竹山,68.5,溪南國小,111.4
14,7/18週六,埔里→台14→國姓→草屯→台3→霧峰→大里→台中市,,,國立臺灣體育運動大學,59.4
,,,,,,976.7
